date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:35	129/129	---MCZ	200	added ('OK')	text/plain	date:Thu,%2001%20Sep%202022%2017:16:59%20GMT	https://baumeister.qodeinteractive.com/robots.txt		(from )
20:22:35	204745/204745	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202022%2017:23:36%20GMT	https://baumeister.qodeinteractive.com/	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/index.html	(from )
20:22:36	88932/88932	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:25:38%20GMT	https://baumeister.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-includes/css/dist/block-library/style.min5b21.css	(from https://baumeister.qodeinteractive.com/)
20:22:36	4933/4933	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:26:11%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.0.0	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style8c3f.css	(from https://baumeister.qodeinteractive.com/)
20:22:36	211644/211644	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:26:11%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.0.0	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style8c3f.css	(from https://baumeister.qodeinteractive.com/)
20:22:37	1325/1325	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:25:56%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.1	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bard5a8.css	(from https://baumeister.qodeinteractive.com/)
20:22:37	2226/2226	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:25:44%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.2	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles4c7e.css	(from https://baumeister.qodeinteractive.com/)
20:22:37	32917/32917	---MC-	200	added ('OK')	application/rss+xml	etag:%2274c2fd3b234b9482c75339e8166edba1%22	https://baumeister.qodeinteractive.com/feed/	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/feed/index.html	(from https://baumeister.qodeinteractive.com/)
20:22:37	9328/9328	---MC-	200	added ('OK')	application/rss+xml	etag:%2274c2fd3b234b9482c75339e8166edba1%22	https://baumeister.qodeinteractive.com/comments/feed/	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/comments/feed/index.html	(from https://baumeister.qodeinteractive.com/)
20:22:37	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%225e4e4f3b-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=6.0.2	C:/Benim%20Web%20Sitem/FactoryTemplate/export.qodethemes.com/_toolbar/assets/css/rbt-modules5b21.css	(from https://baumeister.qodeinteractive.com/)
20:22:37	99775/99775	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:25:50%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.1.0	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.minbfce.css	(from https://baumeister.qodeinteractive.com/)
20:22:38	13825/13825	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:25:50%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.1.0	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minbfce.css	(from https://baumeister.qodeinteractive.com/)
20:22:38	14965/14965	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Aug%202022%2009:25:51%20GMT	https://baumeister.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.0.2	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min5b21.css	(from https://baumeister.qodeinteractive.com/)
20:22:38	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Dec%202021%2011:14:03%20GMT	https://baumeister.qodeinteractive.com/wp-content/themes/baumeister/style.css?ver=6.0.2	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/themes/baumeister/style5b21.css	(from https://baumeister.qodeinteractive.com/)
20:22:38	429890/429890	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Dec%202021%2011:14:03%20GMT	https://baumeister.qodeinteractive.com/wp-content/themes/baumeister/assets/css/modules.min.css?ver=6.0.2	C:/Benim%20Web%20Sitem/FactoryTemplate/baumeister.qodeinteractive.com/wp-content/themes/baumeister/assets/css/modules.min5b21.css	(from https://baumeister.qodeinteractive.com/)
